y,stat_type,class_Acidimicrobiia,class_Alphaproteobacteria,class_Bacteroidia,class_Chlamydiia,class_Cyanobacteriia,class_Fibrobacteria,class_Gammaproteobacteria,class_Marinisomatia,class_Nitrososphaeria,class_Poseidoniia,class_SAR324,class_UBA1144,class_UBA4151,class_UBA796,class_XYA12-FULL-58-9,domain_Archaea,domain_Bacteria,phylum_Actinomycetota,phylum_Bacteroidota,phylum_Chlamydiota,phylum_Cyanobacteriota,phylum_Desulfobacterota_D,phylum_Fibrobacterota,phylum_Marinisomatota,phylum_Myxococcota,phylum_Pseudomonadota,phylum_SAR324,phylum_Thermoplasmatota,phylum_Thermoproteota
-67.5,mean,1.54982796696312,87.3894039079728,58.655972444864,0.179228975842616,17.7468699895725,0.164647526389473,56.4429415169076,2.63502008506695,0.984503466831542,4.80520685019904,0.695924285164946,0.0755686810589845,0.042601285708044,0.106324547324859,0.0572590021126821,5.11615766023024,184.242594715314,3.01233499225417,58.3021058730137,0.179228975842616,27.7445547873206,0.0755686810589845,0.164647526389473,2.95306693665395,0.242435824357876,224.35042901811,0.695924285164946,3.60381611794353,0.977039324698004
-67.5,sd,4.23207690298379,86.7805959627654,9.0258248008197,0.132139100223339,20.1848334013389,0.0880223116873807,10.6354585057962,3.77897490459737,1.37664351909104,7.53659461358709,0.589927632156625,0.172260291237702,0.0470795356965635,0.171180375318531,0.0679056631893903,8.11010940803369,101.765416487448,4.74262002978855,9.05912608977856,0.132139100223339,35.5155284700327,0.172260291237702,0.0880223116873807,4.30626749577259,0.33431194393779,167.061164406681,0.589927632156625,6.31195197627215,1.37732977499635
-66.5,mean,1.61515592583469,97.2352922575399,57.6195175218582,0.165882189567632,17.2297793402989,0.161126760715938,57.893410949707,3.08158173342674,1.00815312584257,4.96282482684156,0.754802755212434,0.105845636816861,0.0420427479469363,0.102233289237045,0.0505351670978187,5.40719154462856,195.495594550257,3.00311452284911,57.2544979217317,0.165882189567632,27.6877549274839,0.105845636816861,0.161126760715938,3.40690011701671,0.222962817098723,234.280229465445,0.754802755212434,3.81302208190099,0.998030033970238
-66.5,sd,4.22765319131632,89.5701313523585,8.74111974941992,0.117239446147562,19.6793129139858,0.0872258071302896,10.6783746221136,4.01757772226384,1.2932936509483,7.51723718250893,0.599288861689992,0.20776813783969,0.0458106455530005,0.165757028268516,0.0628143094687141,8.14239108680326,103.344723724954,4.78625197917555,8.74034087439411,0.117239446147562,35.4181732302975,0.20776813783969,0.0872258071302896,4.45968134062789,0.304508557088594,164.731046341298,0.599288861689992,6.31384737963282,1.29278887222427
-65.5,mean,1.68203853454312,97.2000298653013,57.1675516927053,0.153130430422769,16.5889988298132,0.157196043397881,57.2093209763683,3.34125590906832,1.18138691359866,5.09789787505293,0.769429056185474,0.128525379177654,0.0432868974075676,0.10156283920623,0.0531587888930449,5.56526650015351,192.674150710082,2.93757800847611,56.8306186532217,0.153130430422769,27.3597087594772,0.128525379177654,0.157196043397881,3.69693568662119,0.23126698725899,232.48969901333,0.769429056185474,3.97088633867816,1.17249532014129
-65.5,sd,4.2559317422195,90.3641048174571,9.06657847073812,0.117158868205562,19.0080035602857,0.0855768160226234,12.0832906437862,4.20617034063742,1.40382920892702,7.49349691627907,0.627245061410878,0.235109857704948,0.0479147594087485,0.163142129093009,0.0656546127353099,8.1801288569735,106.615134558997,4.62412901842922,9.0366369102248,0.117158868205562,35.286004163362,0.235109857704948,0.0855768160226234,4.67198236990711,0.318096580969075,167.020854701912,0.627245061410878,6.37588730261891,1.40705181804121
-64.5,mean,1.6830205855603,95.0107737234614,55.9205997286699,0.163792091421922,16.9749936524034,0.153284036019841,55.6530689805797,3.20220549582461,1.19267581163744,4.99300595318202,0.735081481962824,0.113541778970687,0.0440031785858856,0.0877435482057299,0.054254109369585,5.37313844355334,185.061924570474,2.78756234782739,55.6069890053761,0.163792091421922,27.52122386581,0.113541778970687,0.153284036019841,3.53451578390563,0.231950691648236,230.135911524645,0.735081481962824,3.84875449653036,1.1879926500634
-64.5,sd,4.2555784689013,90.8992751089658,8.80421240127529,0.125234579167333,18.904322795785,0.0854099170630046,12.7809893700285,4.2459180896313,1.4459666595948,7.49516753321871,0.629798263383736,0.226627169069771,0.0489992016021462,0.150033223727843,0.0657584031508451,8.04244575993014,107.682911203801,4.44969310587167,8.76075962460544,0.125234579167333,35.1836114139597,0.226627169069771,0.0854099170630046,4.73344294094418,0.32835638293225,168.841642709593,0.629798263383736,6.35463481521733,1.45311206164727
-63.5,mean,1.77470191727578,100.18169844515,56.2178251050995,0.167095895968316,17.0171013089545,0.150674879002228,56.6246703531904,3.39673758296852,1.31318741633853,5.25397369287276,0.757586117340286,0.122824358903019,0.0450544428066245,0.0957077404676438,0.0579402574203867,5.80873777976928,191.894657106329,2.99811770638431,55.9586642049253,0.167095895968316,27.6274068404448,0.122824358903019,0.150674879002228,3.73494173704563,0.243597010051131,235.530960661008,0.757586117340286,4.17319333441284,1.30626960449207
-63.5,sd,4.26537447940846,92.4679998558034,9.18039608230744,0.135169128207124,18.5436948035485,0.0863832652860825,12.9868149879901,4.47644211244838,1.56928145871355,7.54699337376646,0.645313726029492,0.252227015808951,0.0499112384057217,0.15587128046081,0.0671397572580607,8.3021868816621,109.051882550158,4.59475164759575,9.14004472570017,0.135169128207124,35.108575176997,0.252227015808951,0.0863832652860825,4.88693995360912,0.341147680302857,167.341145211295,0.645313726029492,6.5219795923813,1.57267393344796
