y,stat_type,class_Acidimicrobiia,class_Alphaproteobacteria,class_Bacteroidia,class_Chlamydiia,class_Cyanobacteriia,class_Fibrobacteria,class_Gammaproteobacteria,class_Marinisomatia,class_Nitrososphaeria,class_Poseidoniia,class_SAR324,class_UBA1144,class_UBA4151,class_UBA796,class_XYA12-FULL-58-9,domain_Archaea,domain_Bacteria,phylum_Actinomycetota,phylum_Bacteroidota,phylum_Chlamydiota,phylum_Cyanobacteriota,phylum_Desulfobacterota_D,phylum_Fibrobacterota,phylum_Marinisomatota,phylum_Myxococcota,phylum_Pseudomonadota,phylum_SAR324,phylum_Thermoplasmatota,phylum_Thermoproteota
-52.5,mean,6.36530176561754,164.724087683667,62.2166848142805,0.100403696963662,13.5373699160737,0.24049562743821,74.050272915362,9.94339728809972,3.69390512267105,13.5975617527098,1.3666559057875,0.649490026312665,0.0444972281994499,0.175526700851223,0.0703472913952119,15.2805490822948,298.925891684893,8.67158591961631,62.3546061622297,0.100403696963662,26.3704874510493,0.649490026315495,0.24049562743821,10.0233851658924,0.484053642775422,312.883501442205,1.3666559057875,13.298829440017,3.68001034803225
-52.5,sd,5.86732578033739,108.838761017382,19.143856902672,0.0887755876050307,15.2734562801526,0.131812586365681,19.5164635558425,8.09321572753101,2.86789732468432,9.41794680734302,1.03460952587589,0.575864818939895,0.0539144332669295,0.201415350494127,0.070792211319242,11.5234634480872,142.860119178404,7.30244476713853,18.9473974449594,0.0887755876050307,35.0386147549508,0.575864818942861,0.131812586365681,8.08155246168347,0.491512040024312,150.616961586593,1.03460952587589,9.41462551847679,2.87008155206857
-51.5,mean,7.0121060191772,171.678965737553,63.6594715185149,0.0971549163946392,13.7920151777671,0.254621388421615,76.3115996935087,10.7518787919425,3.8497863314053,14.6070384015931,1.42566969714292,0.710745930252093,0.0440080589924441,0.17283210253469,0.0698841474695381,16.5633338230522,313.792464161646,9.4142243976035,63.853846480818,0.0971549163946392,26.5603949952425,0.710745930252093,0.254621388421615,10.8156014970101,0.506937702259926,320.4658196278,1.42566969714292,14.3780678954568,3.83683279343782
-51.5,sd,5.99643989497598,109.010908500533,19.7152164432222,0.0906418581827017,15.4594350966947,0.134100397227033,19.688477123458,8.45611088365218,2.88947337956887,9.62085090905783,1.06127391082666,0.601873304141,0.0531264601008905,0.192182065735504,0.0704410883197147,12.0049330288165,145.662086961797,7.47295927643178,19.5190782249386,0.0906418581827017,35.0491228196915,0.601873304141,0.134100397227033,8.43267637276389,0.498871531484039,147.9811727038,1.06127391082666,9.70980387922787,2.89226774592667
-50.5,mean,7.56338746287066,176.853144161058,65.2975707355735,0.0965238994381941,14.017354454394,0.26602273931666,78.6923767552798,11.4529034811684,3.91308453924201,15.4877919328724,1.46960824255581,0.765628739248281,0.0418264920258521,0.170894330914441,0.0686508291426325,17.8866188427765,325.110963763557,9.99044941366439,65.5457489533075,0.0965238994381941,26.7609506103788,0.765628739248281,0.26602273931666,11.4712430083588,0.515958490727208,326.11042649469,1.46960824255581,15.3183109476942,3.89817703036827
-50.5,sd,6.10619525422892,109.404561376844,19.7578711404106,0.0929955862525551,15.6763592536529,0.135207683411327,19.5387426562561,8.75193047221253,2.87261404973473,9.77115119926137,1.08241627488713,0.626110269379103,0.0509139398522584,0.183670375915519,0.0698577980644857,12.5094039415109,148.234483248286,7.58519093447802,19.5722443772441,0.0929955862525551,35.0825637875347,0.626110269379103,0.135207683411327,8.7153109149073,0.49171717139611,145.937901273896,1.08241627488713,9.90903295533282,2.87161748477401
-49.5,mean,8.13094308697824,184.278521250174,67.2242302184408,0.0982600651666913,14.7723844381915,0.270813775465111,81.2610303833127,12.1534679381327,3.89448380756086,16.4039181237854,1.51145085911556,0.826741851972067,0.0416223277081687,0.175729448554552,0.0712170762087564,19.0487029013245,339.442464874102,10.5352450204167,67.5293774345931,0.0982600651666913,27.3228198962415,0.826741851972067,0.270813775465111,12.1160634495608,0.533817705376402,333.585926681526,1.51145085911556,16.2864744713813,3.87906395253554
-49.5,sd,6.18847313645243,108.915666460072,19.5306368120512,0.092030965672407,16.1606693455552,0.135953968894501,19.3475506775269,8.8307197422363,2.85071208005262,9.79529166495486,1.09885563717576,0.646525824270994,0.05030312692828,0.183471262094421,0.0714500644452028,12.6839285663573,149.236325976584,7.6132406197816,19.3510786028079,0.092030965672407,35.0489702616037,0.646525824270994,0.135953968894501,8.76503390487555,0.486480428007968,141.879508510486,1.09885563717576,9.95067383118178,2.84867551220003
-48.5,mean,8.65293926664046,192.051796220292,69.1043907269933,0.100630755069226,15.8968331218462,0.274958906886922,83.8686073760206,12.7587397706974,3.80765958770403,17.1990671422365,1.54262440973263,0.88000604419378,0.0416182877938576,0.177717398873502,0.0717518427908057,19.833458004617,354.291721203295,10.9773191458139,69.4545524166777,0.100630755069226,28.1245747609657,0.88000604419378,0.274958906886922,12.7020568207848,0.549459769497362,340.490087146941,1.54262440973263,17.1160051220218,3.79328911710389
-48.5,sd,6.28729387267569,107.976714315809,18.8177815225142,0.0918929474412344,16.8510083660113,0.139887433918639,19.0700113697274,8.98871391948413,2.8250927042071,9.94370498373205,1.11337440948009,0.663116557264825,0.049841714392608,0.181712975652235,0.0730944530381046,12.9158540200862,150.563330870523,7.66429722888916,18.673084404797,0.0918929474412344,35.0079243628224,0.663116557264825,0.139887433918639,8.92587666473905,0.481806891416419,137.651050644236,1.11337440948009,10.1145292989117,2.82288765607899
-47.5,mean,9.19830349649539,199.573660138367,71.434919273835,0.10030670644204,17.069750374122,0.275808797893957,86.8764735318366,13.4334567394853,3.71168691865126,18.1557890561098,1.59615300020442,0.935272588387044,0.0418804805687825,0.187347476636215,0.0694252995092612,20.8577596551895,369.25796145086,11.5489569863499,71.8374742830468,0.10030670644204,28.9185806090372,0.935272588387044,0.275808797893957,13.3682538952242,0.57657878617238,347.264886074979,1.59615300020442,18.125427599845,3.69823472703792
-47.5,sd,6.28513794529185,106.596335084258,18.0583806472416,0.0901378847109646,17.7120852864385,0.139995628383071,18.7359547194166,8.99000233445721,2.77502950871736,9.95493309407445,1.11972320017347,0.67109888251828,0.0484294021069674,0.177675256044867,0.0723402325749678,13.1119886462204,150.453548045715,7.67897138020202,17.9324456156196,0.0901378847109646,35.0455036868708,0.67109888251828,0.139995628383071,8.92744416161517,0.477254136030459,132.83843820833,1.11972320017347,10.1253517669204,2.77189728392025
-46.5,mean,9.86614807702118,208.106725708487,73.8292766217706,0.100603771866545,18.3882975533803,0.270095992184316,89.8548687959488,14.1491596729528,3.62752327725678,19.2727652972552,1.64837988483255,0.997137608748057,0.0425000093427258,0.20942230334732,0.0674674350162218,21.9739651759306,387.143682991481,12.2010398238392,74.2756100913965,0.100603771866545,29.8852518846948,0.997137608748057,0.270095992184316,14.0697881750065,0.616944746708324,354.817597055491,1.64837988483255,19.3262036166334,3.61376045870468
-46.5,sd,6.33873813748651,105.299765564319,17.4194267207241,0.0896824271838713,18.5240411027805,0.143652702188768,18.3267753280221,9.15889416939403,2.7190487128425,10.113263991462,1.12561834553936,0.68935700059312,0.0491623644560927,0.18571417387926,0.0727382460145292,13.3756186120577,150.013790565493,7.76047997455853,17.3152143796515,0.0896824271838713,35.0608980740436,0.68935700059312,0.143652702188768,9.09123450331414,0.477303353309746,127.937297276116,1.12561834553936,10.3024482114028,2.71541229718408
-45.5,mean,10.9066830172105,219.881929796062,76.161832615467,0.10140586728075,20.2843505333977,0.267223987956539,92.9782234922953,15.2478745672034,3.66833604639186,20.8348476326635,1.73710840330527,1.09072179151241,0.0431731398388576,0.232016445896076,0.0662545595913952,23.6957255597014,412.644574224842,13.1880686546512,76.6523570687544,0.10140586728075,31.3489552558924,1.09072179151241,0.267223987956539,15.1427022629437,0.659150550142604,365.457369082073,1.73710840330527,20.9570336854332,3.65229045407071
-45.5,sd,6.46488652914062,104.576839090871,17.1110463594225,0.0887019807172023,19.6081955977366,0.149437625748237,17.9170701838779,9.35418023069662,2.69477975157936,10.3380380026979,1.1471448887268,0.723028402831653,0.050450171419937,0.191469329742481,0.0741384943232115,13.6903899407434,151.102133927366,7.92374019481029,16.9982663520713,0.0887019807172023,35.0629377301778,0.723028402831653,0.149437625748237,9.29293912393716,0.477960131673615,123.139398466723,1.1471448887268,10.546533105863,2.69048417138329
-44.5,mean,12.0424389687913,234.149286574842,78.2930570013871,0.0987641382217163,22.8951786396326,0.264389620043392,96.2083004546109,16.4167529814826,3.73646722471865,22.3695778790666,1.82966812758722,1.20230444914866,0.0441732303657017,0.246527029694967,0.061066643139324,25.8211413354795,443.146296240651,14.2957012174275,78.8272607063485,0.0987641382217163,33.338719117094,1.20230444914862,0.264389620043392,16.2870909922684,0.694233867123654,377.140190003245,1.82966812758722,22.4492353324601,3.72222976600758
-44.5,sd,6.63854090110329,102.240198734349,17.0114453674722,0.0832069415279881,20.9671918615924,0.157466608973569,17.6188667968127,9.6269518548754,2.69801981816006,10.6271824906251,1.17264713799367,0.762298956749325,0.0521764996650382,0.197635704424895,0.0723475609370133,14.1230102097105,149.120925052501,8.12605116753529,16.9022928436662,0.0832069415279881,35.0722959619688,0.762298956749394,0.157466608973569,9.55909292407333,0.4828317799018,117.69273887733,1.17264713799367,10.8754620149259,2.69508940120303
-43.5,mean,13.3530671379599,251.954398153931,80.2552042866102,0.0961269957436127,26.0113037697707,0.240416229556889,99.3291087280919,17.5923247583464,3.82148753418836,24.1671803203146,1.95639929772718,1.32243773910492,0.0470210376557941,0.265152519623131,0.0583387804686985,27.981893862523,477.398002396633,15.6483265773857,80.8219078548997,0.0961269957436127,35.7353905855794,1.32243773910492,0.240416229556889,17.4104562372744,0.73759739713191,390.85582368611,1.95639929772718,24.1858641888946,3.80821925156991
-43.5,sd,6.82558485741011,100.19971687299,16.6423663281619,0.0715153556002486,22.4584584527881,0.15816911319278,17.2804673871853,9.84773231397386,2.70027876494681,10.949514815149,1.19013551567166,0.799452031341867,0.0545357393554006,0.201074424527722,0.0711899911059847,14.5233023261521,149.015917745514,8.38687266474275,16.5183163577628,0.0715153556002486,35.1230935187649,0.799452031341867,0.15816911319278,9.75134357753627,0.489575139469732,112.418302888561,1.19013551567166,11.2169172332432,2.69662316334572
-42.5,mean,15.0522373487799,275.175010502373,82.1410751759222,0.0965070303615394,29.8661064552931,0.198226224450039,102.496229916942,18.8288777605291,3.89996338058337,26.3302735651871,2.1314150190717,1.47251151577641,0.0515588401432452,0.295906923606004,0.0570312480364304,30.3675914133433,518.972855863736,17.4151416369976,82.7171745954089,0.0965070303615394,38.7709579856126,1.47251151577641,0.198226224450039,18.5938831306994,0.796049534931869,409.087428251843,2.1314150190717,26.3488736588713,3.88626133044759
-42.5,sd,7.17686305813854,98.6270526962963,15.9210318826347,0.0703576191665863,23.846528098399,0.146863551533124,16.9634748147286,9.98295213879314,2.70163391004029,11.4015981595582,1.2128307215537,0.837957162912062,0.0573593467615521,0.207182651708055,0.0706696674987791,14.8789425545986,153.356313628318,8.80049695724755,15.7870046281879,0.0703576191665863,35.0974981637539,0.837957162912062,0.146863551533124,9.87942756265117,0.489433603753703,106.962806841536,1.2128307215537,11.6717516278875,2.69670403323049
-41.5,mean,16.6705082112166,296.67086623032,83.7557128946148,0.0998997278440609,34.6705248165473,0.150207308685211,105.450792407995,19.6874877372903,3.93425546939019,28.0507441066265,2.31154432790217,1.61731813661182,0.0566185741806478,0.327670967496416,0.0568070230460106,32.0413816802942,557.911890805861,19.1361750915746,84.329528105857,0.0998997278440609,42.4883478664454,1.61731813661182,0.150207308685211,19.4357080120408,0.8572741761712,426.94271858792,2.31154432790217,28.047882908437,3.92293763513964
-41.5,sd,7.62019139432361,97.6908840576235,15.299666216326,0.0734471422150993,25.3303351237828,0.122599476839621,16.7570638339052,10.1783285219473,2.70636040229962,11.9268517967691,1.25167319977685,0.885117111095512,0.0598829692031286,0.212472450634395,0.0714620585873695,15.3348839758882,159.046442541179,9.19880679232542,15.1723463957635,0.0734471422150993,35.0319572137562,0.885117111095512,0.122599476839621,10.0938793811322,0.499080501539112,102.967357683142,1.25167319977685,12.13847627822,2.70235731037043
-40.5,mean,18.1325672862196,318.469215559726,85.0662079528065,0.106254677938838,40.5239666013549,0.109233191862192,107.870508049621,20.271456660325,3.87145708302718,29.4511598202775,2.52231024395952,1.75489631178936,0.0635958122244742,0.36789535088873,0.0583091595203533,33.2707969819872,596.144972511563,20.6671145825739,85.6209738055499,0.106254677938838,47.1083345500862,1.75489631178918,0.109233191862192,20.0536854207016,0.918653309701335,445.798352347974,2.52231024395952,29.4360747148025,3.86175942778014
-40.5,sd,8.00696054789067,96.2485701899038,14.4470316226548,0.0786933555021822,26.7616226798756,0.0996882010192746,16.2408876312587,10.2819900916384,2.69492733941977,12.366623936098,1.29063431539504,0.928488649409387,0.0623989985041268,0.22563241340944,0.0740374771649273,15.7516340035487,162.625652732453,9.47526152922479,14.3025615298096,0.0786933555021822,35.0668834302686,0.92848864940971,0.0996882010192746,10.2238763243351,0.492167980684092,98.3333190553763,1.29063431539504,12.5043840366178,2.69022542541861
-39.5,mean,19.1006474462667,336.544844516408,85.901863399148,0.112080395079779,46.9806715086277,0.0828756386470429,109.529683263286,20.4962325513334,3.69091064358957,30.1168840124579,2.66209284315043,1.85104066251014,0.0714032113343675,0.39933335591479,0.0591953912196728,33.6980463095327,627.167063008996,21.6435723377244,86.4476507180029,0.112080395079779,52.2011050286737,1.85104066251014,0.0828756386470429,20.3090413468506,0.974447364882209,461.328793940681,2.66209284315043,30.0780196371797,3.68383451779625
-39.5,sd,8.15556964374233,95.9266591582515,13.2178442614029,0.0859040619746739,28.4388528703293,0.0868093468493952,15.623323913923,10.3422222354701,2.61038053939099,12.5096349138068,1.3191726219342,0.958297491652332,0.0707809860508657,0.226686392361121,0.0761952864704381,15.899567607102,166.112788612433,9.57115456602147,13.0585149655082,0.0859040619746739,35.55433937602,0.958297491652332,0.0868093468493952,10.3075356702738,0.499115417225147,95.9004704480133,1.3191726219342,12.6342008028491,2.60680347826218
-38.5,mean,19.8058954343885,354.615878917567,86.2414620076076,0.120233445754852,53.652039151154,0.0594291154880409,110.836179304697,20.7074786731012,3.46664410511518,30.3803392169188,2.78094527209171,1.9170669344953,0.0795411332930823,0.422821308447023,0.0601463956631081,33.7750007385302,657.054095429828,22.360572940966,86.7755572841955,0.120233445754852,57.3012642775557,1.91706693449521,0.0594291154880409,20.5456466759262,1.01553020880556,476.726701156844,2.78094527209171,30.3140231885572,3.46161034222567
-38.5,sd,8.01102744531142,91.2164438791055,11.5820470617193,0.0984373189669043,29.3798750376743,0.0671345432606548,14.4517800451315,10.326670680598,2.51086784339493,12.4293708159142,1.31311356155742,0.955908071771429,0.0684504831066794,0.22258347935891,0.0764121995630226,15.8229356262222,162.330647274933,9.44517730197945,11.4181569157522,0.0984373189669043,35.7383990971959,0.955908071771612,0.0671345432606548,10.3114934657212,0.486625712751122,88.4725242672744,1.31311356155742,12.5544429993345,2.50810984420487
-37.5,mean,20.2605649787252,369.347322494325,86.4165948514039,0.131764487235385,60.2087414353592,0.0448725881981053,111.839133133835,20.7168556952788,3.21329843056117,30.2635631459628,2.86925365717365,1.94639923096909,0.0873102459938016,0.447378478020503,0.0620540098364808,33.4607938307492,682.752333108216,22.8120126185011,86.955323430338,0.131764487235385,62.6212162523956,1.94639923096909,0.0448725881981053,20.566794807824,1.04700837323452,489.32760810352,2.86925365717365,30.1594229186372,3.20926917234885
-37.5,sd,7.79987176569815,86.7877370267223,10.0270303092451,0.114770034277655,30.0217797351869,0.0548733592615715,13.5247405616309,10.3280736247769,2.41319864261414,12.4129439418104,1.30628950047186,0.951261625539595,0.0706970422829035,0.22605145693518,0.078353252603006,15.7509992017122,157.187811818225,9.26781102626998,9.87094761165348,0.114770034277655,36.0867303247669,0.951261625539595,0.0548733592615715,10.2921039620899,0.486340288833295,81.2997926278244,1.30628950047186,12.5467832962466,2.40955796014941
-36.5,mean,20.3147725867823,380.617087331142,86.1701791709361,0.141973396166517,66.4992327705289,0.0357852023597357,112.288202727925,20.4152063178402,2.92127959896626,29.6417643143584,2.91919458362561,1.92550303751612,0.0929722083961921,0.456208617997538,0.0605689125278534,32.5854753952634,702.496762602956,22.8244278179872,86.7234190273767,0.141973396166517,67.8464586030092,1.92550303751612,0.0357852023597357,20.3014339478867,1.06096189040093,498.392300159299,2.91919458362561,29.4368442460262,2.91776744770544
-36.5,sd,7.50728730926257,84.4344988940736,9.07721836539113,0.128871937146564,30.6570571889837,0.0503479906904765,12.9559619143685,10.2841315658578,2.3104602858301,12.4279235251995,1.30764610188069,0.937111752911974,0.0727653759536108,0.210625298910137,0.0737678038351455,15.7335377954625,152.744334386037,9.07365230414044,8.92307215065652,0.128871937146564,36.4324362513475,0.937111752911974,0.0503479906904765,10.2210243711324,0.489454781657756,76.1748262785105,1.30764610188069,12.6204733175704,2.30488506958277
-35.5,mean,20.2359499305196,391.698438377512,85.2631621463542,0.155079233617215,73.1581294625254,0.0304296507457989,112.192020731498,19.9481087995773,2.62857582840019,28.6790209027933,2.94905772737274,1.90669069304519,0.0984662405770105,0.456393581953327,0.0627941364564031,31.3450191476521,721.492879678828,22.8084373864745,85.8499951090664,0.155079233617215,73.4342020405876,1.90669069304518,0.0304296507457989,19.8843992213093,1.07185458999098,506.879031807896,2.94905772737274,28.3761969555719,2.62539996986101
-35.5,sd,7.39945014395655,83.5065700547277,9.4371602275451,0.147446764236604,31.3244256579192,0.0474523501765048,13.2515664867317,10.2531080023459,2.1987903097914,12.6292724096759,1.3073703056759,0.953434351729743,0.0812822509740882,0.219187236848112,0.0866225251782873,15.8387268467803,149.612757114855,9.08983984008673,9.271385460375,0.147446764236604,36.7447052092493,0.953434351729754,0.0474523501765048,10.1829780634922,0.594544560284405,74.9277115026131,1.3073703056759,12.8631875080653,2.19379799245139
-34.5,mean,19.9325055390387,402.754765476451,84.2809500486734,0.173106020516587,79.4488174936425,0.0252847840943046,112.211363829068,19.4800430293157,2.33122357998649,27.6031401757237,2.94813066425248,1.8378057961078,0.10016487141628,0.453999627854867,0.061615401226763,29.8357644747455,737.49655517253,22.3368341018566,84.9020241004393,0.173106020516587,78.7279551408825,1.8378057961078,0.0252847840943046,19.4582970206703,1.04693881637737,516.872906182779,2.94813066425248,27.2203344943227,2.32886834025261
-34.5,sd,7.18921696547794,79.213264769984,9.45416308775334,0.163034976367768,31.9198056481969,0.0419487418239392,12.4392338521558,10.1398511060292,2.08359912837242,12.702614217489,1.29217373905736,0.933437327336974,0.0799618191517551,0.228244148080294,0.0771382395290384,15.7508894535398,145.105267465774,8.74689111077669,9.25595736738991,0.163034976367768,37.0767884038896,0.933437327336974,0.0419487418239392,10.064833276917,0.516040370662177,67.2380235972453,1.29217373905736,12.9841589763934,2.07961616298185
-33.5,mean,19.7134963583249,416.908246293851,82.6732671580299,0.189172641509041,86.4887282036035,0.0202065574068549,111.706555266637,19.0930211340466,2.03151307289644,26.4846440964766,2.95783479331315,1.79310039008278,0.102814409633299,0.453599973995886,0.0638803156889889,28.3755733269616,760.086655977877,22.0888460934578,83.3359156584451,0.189172641509041,84.9060407898943,1.79310039008278,0.0202065574068549,19.0877243495857,1.04435754475036,528.257408434697,2.95783479331315,26.0778883595149,2.03054112322811
-33.5,sd,7.0236553517799,75.498759152069,9.56113591790498,0.181679715732381,32.0131053825191,0.0383885736909609,12.2870326853193,10.0017573444463,1.93046197768555,12.7039349734057,1.25914515157139,0.932267483923201,0.0829058234357576,0.240429142364852,0.0804307223213779,15.509320033575,139.958633097616,8.54048908059032,9.30639093467182,0.181679715732381,36.9175294768782,0.932267483923201,0.0383885736909609,9.94092462998531,0.536535311292166,63.359693398843,1.25914515157139,13.0118490784814,1.92887965672509
-32.5,mean,19.4603592745011,430.558839484625,81.1047331054337,0.206889430114376,93.2905566903105,0.0168383778494762,111.059266116295,18.724296756403,1.77406869037473,25.3369870128755,2.95850370566623,1.73555230273268,0.105174969049681,0.453649262634626,0.0683572571306677,26.9683606378647,782.190602556088,21.8163082333146,81.8250815427932,0.206889430114376,91.1477346327607,1.73555230273268,0.0168383778494762,18.7404750976403,1.04991040208157,537.628028911105,2.95850370566623,24.9296764108124,1.77415015796408
-32.5,sd,6.89169298029756,72.759390268296,10.1197211333643,0.199104921483804,32.2134170148274,0.0368515873044565,12.0745248076204,9.87741161864349,1.79984868725995,12.7289885714564,1.21147037046353,0.919981832166888,0.0862873533872078,0.25522286810259,0.0846763446829318,15.434344699335,136.432786868128,8.46193198709814,9.86126479149149,0.199104921483804,37.0415462125345,0.919981832166891,0.0368515873044565,9.81076808252959,0.567699981538267,61.3470217855775,1.21147037046353,13.0271851599184,1.79952790654413
-31.5,mean,19.2263277029833,445.244932586692,79.2445609656997,0.219440815690359,100.884545678019,0.0130622738892482,110.29634179981,18.3806350827955,1.52343994557871,24.0729225241652,2.93739361045772,1.6813727728998,0.108341783484611,0.443469139220697,0.074459585903569,25.3954084395958,805.926518313723,21.4635798415278,80.0220569329003,0.219440815690359,98.4116643998226,1.6813727728998,0.0130622738892482,18.4047660224612,1.05023069717474,548.171711524108,2.93739361045772,23.6249913139088,1.52211954994952
-31.5,sd,6.70048913530123,68.3877933704998,10.1968295894857,0.204440882047035,31.5731457168766,0.0347319068948418,11.7871271684628,9.70429336457392,1.65031663667164,12.4613517251514,1.17102823363036,0.905357812557089,0.0897218869447372,0.254180465262457,0.090314167767628,14.9740316215841,131.224444648665,8.32177683280021,9.92444390543315,0.204440882047035,36.5329860382539,0.905357812557089,0.0347319068948418,9.61428990829156,0.579503636837109,58.9313061486584,1.17102823363036,12.715602490754,1.64918399444499
-30.5,mean,19.1900445725237,456.925160908197,77.7081371111061,0.225350958609654,107.288247963217,0.00874488332741924,109.693292633191,18.2092219657448,1.36233814268282,23.3092987741061,2.92044256348929,1.64301005747043,0.112609889610335,0.449894075139184,0.0817510856917143,24.3164980680146,825.720248622002,21.3104593972227,78.5327031597338,0.225350958609654,104.675209904038,1.64301005747043,0.00874488332741924,18.2209039850691,1.07345051501382,556.809717383357,2.92044256348929,22.8466475847841,1.36093544287709
-30.5,sd,6.44805153636367,64.779497320912,10.1008453144044,0.203674286773098,30.5190312547004,0.0266858180494645,11.4681827006624,9.45166782547311,1.52519487341551,12.1625241970687,1.11317434939084,0.877464905666535,0.0961017920495554,0.262975660285195,0.0957946162069939,14.4917554620506,125.19114766701,8.08891243734473,9.81692685190755,0.203674286773098,35.4104817077398,0.877464905666535,0.0266858180494645,9.35266216125122,0.605560324284549,56.062912659531,1.11317434939084,12.3540942258713,1.5250215542773
-29.5,mean,19.147199702383,464.358944901889,76.6301945169207,0.227899829356047,112.012861188476,0.00849290044452221,108.957109251492,18.0324762902512,1.23920379893614,22.6800790205654,2.83728520374532,1.61148004946551,0.120877999170253,0.463993839633944,0.091725535517298,23.4852621537603,838.573000182904,21.2829977577124,77.5053492572386,0.227899829356047,109.655427942571,1.61148004946551,0.00849290044452221,18.0373009558259,1.12413421584296,562.017580128836,2.83728520374532,22.2187261791921,1.23808301971154
-29.5,sd,6.26266758937694,68.6211157991527,10.7014529564856,0.19900039144819,30.8007996996913,0.0332969263614431,11.3666777339506,9.20821512426311,1.41497017328163,11.827352792668,1.06113518446598,0.845594305784064,0.107006190207659,0.276354465648352,0.104014522749457,14.0637772048392,126.348851683371,7.85457745931366,10.4554476746376,0.19900039144819,35.6710137194251,0.845594305784064,0.0332969263614431,9.07992139166213,0.645372263408866,59.3509459293226,1.06113518446598,11.9674019001495,1.41595269882977
-28.5,mean,19.2535639566266,472.446438911217,75.4596764665558,0.233026372666424,116.055487095771,0.00738371249261653,108.104089910189,18.0447988750026,1.14352529845627,22.3843306813984,2.76008207125071,1.59183524758578,0.130990492140592,0.488024913029563,0.106542200064091,23.116187669102,851.185343207121,21.4055022825915,76.3713375067711,0.233026372666424,113.939871764893,1.59183524758578,0.00738371249261653,18.0268613792873,1.19205713771556,567.825965926988,2.76008207125071,21.9337914489672,1.14248969888485
-28.5,sd,6.04726668644685,67.3479597144808,10.418258759532,0.198155911835557,30.4931211193807,0.030712769651457,10.9428238754646,8.9506865692577,1.32150803702981,11.4256985874402,0.983123114011949,0.809751412506244,0.11455949466628,0.283989077844076,0.112073113827065,13.6214844898237,123.656515841543,7.58050776845543,10.1663096937963,0.198155911835557,35.6584396981183,0.809751412506244,0.030712769651457,8.81729789799447,0.673353949537707,58.6605435740465,0.983123114011949,11.5409943035777,1.32249026595263
-27.5,mean,19.4290360643457,478.456703168531,74.4555790936505,0.236700773677912,119.239938229847,0.00648373535018675,107.098769046642,18.0085434037222,1.07268348232857,22.3044291334832,2.69061950203407,1.58480749678728,0.14581374075541,0.525349390347314,0.123642251591151,22.9978897724106,859.965367148057,21.6293864364295,75.4014168456749,0.236700773677912,117.400576330658,1.58480749678728,0.00648373535018675,17.9745288190118,1.28782777823152,571.787905523113,2.69061950203407,21.8932202334658,1.07224502363702
-27.5,sd,5.94802628976509,66.3754016364746,10.1002196618858,0.200711139388372,30.398398233384,0.0278551611582732,10.6219963338172,8.69922664445951,1.23976569253615,11.1482383264409,0.909755168654739,0.781304202216773,0.126995749096804,0.293074932864138,0.120807551362227,13.2826160800783,121.267173703683,7.38768747266281,9.83550917243274,0.200711139388372,35.7768009238291,0.781304202216773,0.0278551611582732,8.57772965079307,0.711965702927704,58.3599728140766,0.909755168654739,11.2604836612972,1.24026389051715
-26.5,mean,19.4972372231333,481.235403359338,73.7200196371756,0.242309496737292,121.268427802244,0.00746821988705067,106.163309286648,17.8347620484722,1.01050127419519,22.1938192226803,2.61437017237977,1.56914140555294,0.160711478370619,0.562875118648378,0.139860986186476,22.8486422014895,863.104950171975,21.7301466170595,74.7001294309338,0.242309496737292,119.625912642116,1.56914140555294,0.00746821988705067,17.7956166318037,1.3828227253263,573.226764668053,2.61437017237977,21.839950301583,1.01044754300752
-26.5,sd,5.89769191107625,69.0498118513086,10.4698866381329,0.202679732211838,31.166041353996,0.031729948820822,10.4056755863731,8.43431795618798,1.18912424870787,10.9051169118506,0.869312326217923,0.751871440985299,0.138554145168879,0.301984189918058,0.127736997586928,12.9721792223953,122.201167430448,7.24061922577942,10.2319947889275,0.202679732211838,36.1557532575297,0.751871440985299,0.031729948820822,8.31301354550783,0.738933526494077,61.216799631601,0.869312326217923,11.0068523520016,1.18999644896938
-25.5,mean,19.3787672129252,481.398132147751,72.8175321631188,0.248747426599618,122.825215207037,0.00728777963524171,105.058055401436,17.5113150807389,0.932396056507575,21.9339493205849,2.52944398497888,1.53893501606285,0.175339870440578,0.603008781051636,0.152883919977723,22.4855842799433,862.906549484074,21.634063908896,73.8298079941975,0.248747426599618,121.282231768698,1.53893501605923,0.00728777963524171,17.4796034488817,1.48514795255633,572.380495664739,2.52944398497888,21.6082170663373,0.933227470908278
-25.5,sd,5.71633948680818,71.91337485041,10.5629503201627,0.205909612896918,32.1306594447006,0.0337016928299469,10.2637461200396,8.07603599857837,1.11623516599923,10.5463027169872,0.838279428054197,0.711316242835049,0.146577522619924,0.302279349791502,0.131737569905371,12.4958637314757,123.492344310233,6.99712875426182,10.3355238092349,0.205909612896918,36.8582293157476,0.711316242833786,0.0337016928299469,7.94898442682213,0.74500854421968,64.2964765045661,0.838279428054197,10.605564924197,1.11894448275296
-24.5,mean,19.2646334721013,484.090783396023,71.7315919293495,0.257406354706558,125.259547684272,0.00561220964875203,104.09595725238,17.2313378813405,0.847574024351828,21.6156238374574,2.46449281941785,1.51245906253736,0.190772225362716,0.644228666986701,0.165445851931727,22.0884865605797,865.913990464796,21.4865158775069,72.7747427816285,0.257406354706558,124.103094981469,1.51245906253736,0.00561220964875203,17.2059479173832,1.59209465182488,573.530272510268,2.46449281941785,21.3193694769643,0.84786486474654
